S.No,Category of States ,State,2007-08 (Actual),2008-09 (Actual),2009-10 (Actual),2010-11 (Provisional)
1,Special Category States,Arunachal Pradesh,7831,7427,6314,6548
2,Special Category States,Assam,3677,3537,3824,4513
3,Special Category States,Himachal Pradesh,1952,1620,1739,1353
4,Special Category States,Jammu & Kashmir,7343,7069,7203,7430
5,Special Category States,Manipur,8675,8355,6923,6774
6,Special Category States,Meghalaya,3974,3527,4319,3793
7,Special Category States,Mizoram,3838,4643,4289,4208
8,Special Category States,Nagaland,5120,5585,5802,5598
9,Special Category States,Sikkim,4687,4681,5137,4681
10,Special Category States,Tripura,4144,4008,3752,4119
11,Special Category States,Uttarakhand,3537,2935,2861,2917
1,Non-Special Category States,Andhra Pradesh,2061,1939,1832,1678
2,Non-Special Category States,Bihar,4760,4166,4239,4999
3,Non-Special Category States,Chhattisgarh,3517,3778,4662,3641
4,Non-Special Category States,Goa,1769,1781,1618,1557
5,Non-Special Category States,Gujarat,2643,2546,2687,1825
6,Non-Special Category States,Haryana,2901,2843,2950,2672
7,Non-Special Category States,Jharkhand,5418,5423,4907,4511
8,Non-Special Category States,Karnataka,3163,2479,2369,2364
9,Non-Special Category States,Kerala,4480,3498,2881,2972
10,Non-Special Category States,Madhya Pradesh,4664,4578,4293,4110
11,Non-Special Category States,Maharashtra,3067,2875,2744,2347
12,Non-Special Category States,Orissa,4168,4220,3971,4435
13,Non-Special Category States,Punjab,2236,1976,1997,1835
14,Non-Special Category States,Rajasthan,4018,3299,3306,2560
15,Non-Special Category States,Tamil Nadu,1925,2019,1911,1827
16,Non-Special Category States,Uttar Pradesh,3889,3529,3669,3786
17,Non-Special Category States,West Bengal,2067,2881,2613,2887
